Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.306399 ms
Kernel 2 TIme: 0.022239 ms
Kernel 1 Time: 0.306719 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.307519 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.307039 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.301919 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.300959 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.303999 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.303999 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.303359 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.305759 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.302239 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.301919 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.293119 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.299039 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.296638 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.299838 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.301598 ms
Kernel 2 TIme: 0.021280 ms
Kernel 1 Time: 0.295198 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.296158 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.293919 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.297439 ms
Kernel 2 TIme: 0.019679 ms
Kernel 1 Time: 0.296159 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.292799 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.291519 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.291359 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.288959 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.291038 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.284958 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.284478 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.282558 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.286879 ms
Kernel 2 TIme: 0.020159 ms
Kernel 1 Time: 0.285119 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.278719 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.279039 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.272319 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.270238 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.269119 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.268479 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.270239 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.266239 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.267678 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.266079 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.256959 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.256799 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.256159 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.254879 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.252319 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.251999 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.249119 ms
Kernel 2 TIme: 0.022080 ms
Kernel 1 Time: 0.240479 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.237439 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.235199 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.232639 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.227679 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.222399 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.217599 ms
Kernel 2 TIme: 0.019359 ms
Kernel 1 Time: 0.217119 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.197759 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.195199 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.189599 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.184320 ms
Kernel 2 TIme: 0.019679 ms
Kernel 1 Time: 0.179199 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.171999 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.161120 ms
Kernel 2 TIme: 0.019359 ms
Kernel 1 Time: 0.155199 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.153119 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.143839 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.130560 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.125600 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.114400 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.109760 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.096160 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.089280 ms
Kernel 2 TIme: 0.019680 ms
total number of colors used: 307
kernel time = 64.347029 ms
kernel + memcpy time = 293.067932 ms
